VRN,EntryDate,EntryTime,ExitDate,ExitTime,Balance,InCarpark
VU14SOP,2023-11-01,06:23:33,2023-11-01,19:19:37,15.3,False
PM64QYN,2023-11-01,06:04:38,2023-11-01,19:30:25,15.9,False
EO23HXY,2023-11-01,11:19:35,2023-11-01,13:11:39,2.1,False
EY54GWD,2023-11-01,08:34:54,2023-11-01,10:48:02,2.4,False
KL67CKS,2023-11-01,17:00:34,2023-11-01,20:31:34,4.2,False
SG60MHG,2023-11-01,12:03:40,2023-11-01,14:11:04,2.4,False
HV70JTB,2023-11-01,13:49:45,2023-11-01,22:25:28,10.2,False
YT20LVZ,2023-11-01,13:08:06,2023-11-01,15:22:58,2.4,False
EB10SSK,2023-11-01,17:55:02,2023-11-01,19:28:34,1.8,False
KC11XZP,2023-11-01,05:52:18,2023-11-01,09:57:47,4.8,False
ER02WJP,2023-11-01,06:09:56,2023-11-01,14:47:38,10.2,False
VD59UQQ,2023-11-01,10:11:09,2023-11-01,21:16:25,13.2,False
LU60MLH,2023-11-01,11:57:07,2023-11-01,13:45:09,2.1,False
MM23RKO,2023-11-01,12:04:59,2023-11-01,17:52:28,6.9,False
AS09AJJ,2023-11-01,12:57:04,2023-11-01,17:10:38,4.8,False
CL53JXJ,2023-11-01,17:19:09,2023-11-01,20:51:17,4.2,False
PC56ZPT,2023-11-01,07:17:09,2023-11-01,20:27:42,15.6,False
CY67PCH,2023-11-01,08:28:56,2023-11-01,21:35:19,15.6,False
EV64QOJ,2023-11-01,13:36:18,2023-11-01,18:00:21,5.1,False
SC53RFH,2023-11-01,10:02:08,2023-11-01,20:06:23,12.0,False
NU73OJO,2023-11-01,09:57:17,2023-11-01,11:40:13,1.8,False
BF67ADG,2023-11-01,06:25:54,2023-11-01,16:09:10,11.4,False
YO64YJS,2023-11-01,08:28:04,2023-11-01,14:25:05,6.9,False
CD66VVA,2023-11-01,07:17:49,2023-11-01,16:39:45,11.1,False
AJ05GYO,2023-11-01,07:04:27,2023-11-01,17:20:40,12.3,False
AY03OYC,2023-11-01,06:59:45,2023-11-01,17:33:04,12.6,False
KT09BYC,2023-11-01,09:27:07,2023-11-01,16:58:26,9.0,False
GE18KHE,2023-11-01,13:51:31,2023-11-01,14:04:21,0.3,False
NG17TPJ,2023-11-01,08:03:02,2023-11-01,13:24:12,6.3,False
ST21RHS,2023-11-01,09:16:25,2023-11-01,09:54:05,0.6,False
KX52TYK,2023-11-01,16:28:42,2023-11-01,18:49:16,2.7,False
CP22JBJ,2023-11-01,18:08:11,2023-11-01,20:57:57,3.3,False
CD73ROO,2023-11-01,12:55:40,2023-11-01,17:01:03,4.8,False
RN53WNU,2023-11-01,13:52:42,2023-11-01,18:10:37,5.1,False
RG10WZV,2023-11-01,10:41:34,2023-11-01,21:44:58,13.2,False
LJ54XXM,2023-11-01,09:09:03,2023-11-01,15:24:10,7.5,False
KY07TVA,2023-11-01,06:09:11,2023-11-01,11:22:36,6.0,False
LG62HBO,2023-11-01,07:41:55,2023-11-01,11:20:27,4.2,False
AD60TIZ,2023-11-01,06:54:59,2023-11-01,10:10:38,3.9,False
DH18KPF,2023-11-01,08:47:20,2023-11-01,11:04:37,2.7,False
CT20WQU,2023-11-01,08:04:32,2023-11-01,16:59:59,10.5,False
DO01PMC,2023-11-01,17:59:38,2023-11-01,22:03:37,4.8,False
GH06FAU,2023-11-01,14:22:04,2023-11-01,16:29:13,2.4,False
HK09ULZ,2023-11-01,06:47:20,2023-11-01,12:42:22,6.9,False
PF08WXJ,2023-11-01,11:11:00,2023-11-01,12:02:05,0.9,False
YL59VVU,2023-11-01,15:22:22,2023-11-01,22:19:39,8.1,False
VS13KYA,2023-11-01,09:31:34,2023-11-01,12:30:01,3.3,False
EK01CWW,2023-11-01,07:27:51,2023-11-01,14:23:50,8.1,False
