VRN,EntryDate,EntryTime,ExitDate,ExitTime,Balance,InCarpark
PH67ALP,2023-11-01,19:46:22,2023-11-01,20:08:10,0.3,False
NG70OKL,2023-11-01,06:20:45,2023-11-01,18:51:24,15.0,False
SM61AUZ,2023-11-01,07:13:25,2023-11-01,20:35:17,15.899999999999999,False
SJ69VDF,2023-11-01,18:58:01,2023-11-01,20:28:22,1.7999999999999998,False
VM68QGP,2023-11-01,12:46:28,2023-11-01,13:33:33,0.8999999999999999,False
FL08QML,2023-11-01,15:54:32,2023-11-01,18:26:59,3.0,False
ET10CQM,2023-11-01,08:04:42,2023-11-01,13:28:39,6.3,False
YO16HIT,2023-11-01,06:40:55,2023-11-01,22:12:51,18.599999999999998,False
FY11LWS,2023-11-01,13:59:57,2023-11-01,17:17:03,3.9,False
BA16VFB,2023-11-01,11:55:12,2023-11-01,14:44:43,3.3,False
AK57UNW,2023-11-01,10:39:41,2023-11-01,20:59:17,12.299999999999999,False
OX60LBI,2023-11-01,10:25:36,2023-11-01,21:56:10,13.799999999999999,False
RY16MVV,2023-11-01,06:04:47,2023-11-01,14:30:36,9.9,False
RV01RZE,2023-11-01,10:14:48,2023-11-01,14:24:17,4.8,False
RV21WLM,2023-11-01,12:53:43,2023-11-01,22:14:23,11.1,False
CG63QUN,2023-11-01,06:12:38,2023-11-01,10:42:27,5.1,False
NF68OVX,2023-11-01,19:16:40,2023-11-01,22:18:56,3.5999999999999996,False
MC06UUS,2023-11-01,16:05:56,2023-11-01,19:43:26,4.2,False
HY65CHX,2023-11-01,09:21:58,2023-11-01,15:18:16,6.8999999999999995,False
YX08YCD,2023-11-01,07:28:46,2023-11-01,17:13:27,11.4,False
EP08VYO,2023-11-01,17:28:44,2023-11-01,19:46:09,2.6999999999999997,False
DE12SDY,2023-11-01,08:23:26,2023-11-01,10:12:35,2.1,False
OF57HFB,2023-11-01,07:08:58,2023-11-01,09:53:35,3.0,False
OA72CUQ,2023-11-01,07:38:11,2023-11-01,19:44:34,14.399999999999999,False
AL05WWM,2023-11-01,08:37:42,2023-11-01,18:13:12,11.4,False
